,Energy consumption,Energy consumption,Energy consumption,Energy consumption,Energy consumption,GHG emissions,GHG emissions,GHG emissions,GHG emissions,GHG emissions,Air pollution,Air pollution,Air pollution,Air pollution,Air pollution,Waste management,Waste management,Waste management,Waste management,Waste management,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Diversity & inclusion,Health & safety,Health & safety,Health & safety,Health & safety,Health & safety,Work-life balance,Work-life balance,Work-life balance,Work-life balance,Work-life balance,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior,Ethical culture & behavior
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
ERP (enterprise resource planning),Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
APS (advanced planning and scheduling),Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
MES (manufacturing execution system),Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease
SCADA (supervisory control and data acquisition),Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
PLC (programmable logic controller),Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
HMI (human-machine interface),Increase,Decrease,Decrease,Decrease,,Increase,Decrease,Decrease,Decrease,,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,Increase,Decrease,Decrease,Decrease,Decrease
DCS (distributed control system),Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Cloud-based storage,Increase,Increase,Decrease,Decrease,Decrease,Increase,Increase,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
IIoT (industrial internet of things),Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Edge device,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Data lake/store/base,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Data historian,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Industrial connectivity (on prem),Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Digital twin,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Advanced process control,,,,Decrease,Decrease,,,,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,,,,,,,,,,,
Manufacturing control tower,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Increase,Decrease,Decrease,Decrease,Decrease
Statistical process control,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,,,,,,,,,,
Augmented reality,Increase,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Decrease,,,,,,Decrease,Decrease,Decrease,Decrease,Decrease,Increase,Increase,Increase,Increase,Increase,,,,,,,,,,,,,,,
